Lp,Ua,zakres Ua,Ia,zakres Ia [µA]
1,0.000,2,13.5,0.15
2,0.012,2,11.0,0.15
3,0.018,2,10.5,0.15
4,0.021,2,10.0,0.15
5,0.030,2,9.0,0.15
6,0.038,2,8.0,0.15
7,0.045,2,7.0,0.15
8,0.055,2,6.5,0.15
9,0.065,2,5.5,0.15
10,0.075,2,5.0,0.15
11,0.089,2,4.0,0.15
12,0.097,2,3.5,0.15
13,0.107,2,3.0,0.15

