l (mm),kT (s),X,X^2,Y^2,XY
480,2.6325,43.885094,1925.9015,230400,21064.845
460,2.6918,45.884484,2105.3859,211600,21106.863
440,2.7515,47.942349,2298.4688,193600,21094.634
420,2.8101,50.006196,2500.6196,176400,21002.602
400,2.8676,52.073578,2711.6575,160000,20829.431
380,2.9218,54.060647,2922.5536,144400,20543.046
